DWA ID,DWA Title,FSHC_Rating
4.A.1.a.1.I01.D01,Review art or design materials.,2
4.A.1.a.1.I01.D02,Study details of musical compositions.,2
4.A.1.a.1.I01.D03,Review production information to determine costume or makeup requirements.,2
4.A.1.a.1.I01.D04,Study scripts to determine project requirements.,2
4.A.1.a.1.I01.D05,Review audio or video recordings.,2
4.A.1.a.1.I02.D01,Read materials to determine needed actions.,2
4.A.1.a.1.I02.D02,Read maps to determine routes.,1
4.A.1.a.1.I02.D03,Review customer information.,2
4.A.1.a.1.I02.D04,Read work orders or other instructions to determine product specifications or materials requirements.,2
4.A.1.a.1.I02.D05,Read technical information needed to perform maintenance or repairs.,2
4.A.1.a.1.I02.D06,Study blueprints or other instructions to determine equipment setup requirements.,2
4.A.1.a.1.I02.D07,Read documents to gather technical information.,1
4.A.1.a.1.I02.D08,Review technical documents to plan work.,2
4.A.1.a.1.I02.D09,Review blueprints or specifications to determine work requirements.,2
4.A.1.a.1.I02.D10,Review work orders or schedules to determine operations or procedures.,2
4.A.1.a.1.I02.D11,Review blueprints or other instructions to determine operational methods or sequences.,2
4.A.1.a.1.I02.D12,Evaluate reports or designs to determine work needs.,3
4.A.1.a.1.I02.D13,Read work orders or descriptions of problems to determine repairs or modifications needed.,2
4.A.1.a.1.I02.D14,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",2
4.A.1.a.1.I02.D15,Review details of technical drawings or specifications.,2
4.A.1.a.1.I02.D16,Read work orders to determine material or setup requirements.,2
4.A.1.a.1.I03.D01,Collect evidence for legal proceedings.,2
4.A.1.a.1.I03.D02,Examine crime scenes to obtain evidence.,2
4.A.1.a.1.I03.D03,Investigate crimes committed within organizations.,3
4.A.1.a.1.I03.D04,Investigate legal issues.,2
4.A.1.a.1.I03.D05,Examine records or other types of data to investigate criminal activities.,2
4.A.1.a.1.I03.D06,Conduct hearings to investigate legal issues.,2
4.A.1.a.1.I03.D07,Investigate illegal or suspicious activities.,2
4.A.1.a.1.I04.D01,Obtain property information.,2
4.A.1.a.1.I04.D02,Use databases to locate investigation details or other information.,2
4.A.1.a.1.I04.D03,Search information sources to find specific data.,2
4.A.1.a.1.I04.D04,Gather financial records.,2
4.A.1.a.1.I04.D05,Retrieve information from electronic sources.,2
4.A.1.a.1.I04.D06,Gather information in order to provide services to clients.,2
4.A.1.a.1.I04.D07,"Search files, databases or reference materials to obtain needed information.",2
4.A.1.a.1.I04.D08,Collect archival data.,2
4.A.1.a.1.I05.D01,Evaluate information related to legal matters in public or personal records.,2
4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.,2
4.A.1.a.1.I06.D01,Gather organizational performance information.,3
4.A.1.a.1.I06.D02,Gather information about work conditions or locations.,2
4.A.1.a.1.I06.D03,Gather physical survey data.,2
4.A.1.a.1.I06.D04,Collect data about project sites.,2
4.A.1.a.1.I07.D01,Obtain information about goods or services.,2
4.A.1.a.1.I08.D01,Research hydrologic features or processes.,2
4.A.1.a.1.I08.D02,Research geological features or processes.,2
4.A.1.a.1.I08.D03,Conduct climatological research.,2
4.A.1.a.1.I09.D01,Conduct surveys in organizations.,2
4.A.1.a.1.I09.D02,Research industrial processes or operations.,2
4.A.1.a.1.I09.D03,Conduct scientific research of organizational behavior or processes.,3
4.A.1.a.1.I10.D01,Research impacts of environmental conservation initiatives.,2
4.A.1.a.1.I10.D02,Research issues related to the environment or sustainable business practices.,2
4.A.1.a.1.I10.D03,Investigate the environmental impact of projects.,2
4.A.1.a.1.I10.D04,Monitor environmental impacts of production or development activities.,2
4.A.1.a.1.I10.D05,Research environmental impact of industrial or development activities.,2
4.A.1.a.1.I10.D06,Identify environmental concerns.,2
4.A.1.a.1.I10.D07,Evaluate environmental impact of operational or development activities.,2
4.A.1.a.1.I11.D01,Gather information for news stories.,2
4.A.1.a.1.I12.D01,Gather medical information from patient histories.,2
4.A.1.a.1.I12.D02,"Collect medical information from patients, family members, or other medical professionals.",2
4.A.1.a.1.I12.D03,"Collect information from people through observation, interviews, or surveys.",2
4.A.1.a.1.I12.D04,Collect information about clients.,2
4.A.1.a.1.I13.D01,Research livestock management methods.,2
4.A.1.a.1.I13.D02,Research crop management methods.,2
4.A.1.a.1.I13.D03,Research sustainable agricultural processes or practices.,2
4.A.1.a.1.I14.D01,Conduct market research.,2
4.A.1.a.1.I14.D02,Gather customer or product information to determine customer needs.,2
4.A.1.a.1.I14.D03,Obtain personal or financial information about customers or applicants.,2
4.A.1.a.1.I14.D04,Conduct opinion surveys or needs assessments.,2
4.A.1.a.1.I14.D05,Collect data about customer needs.,2
4.A.1.a.1.I15.D01,Observe individuals' activities to gather information or compile evidence.,2
4.A.1.a.1.I15.D02,Investigate personal characteristics or activities of individuals.,2
4.A.1.a.1.I16.D01,Research genetic characteristics or expression.,2
4.A.1.a.1.I16.D02,Research diseases or parasites.,2
4.A.1.a.1.I16.D03,Conduct research of processes in natural or industrial ecosystems.,2
4.A.1.a.1.I16.D04,Research microbiological or chemical processes or structures.,2
4.A.1.a.1.I16.D05,Classify organisms based on their characteristics or behavior.,1
4.A.1.a.1.I16.D06,Examine characteristics or behavior of living organisms.,2
4.A.1.a.1.I17.D01,Obtain documentation to authorize activities.,2
4.A.1.a.1.I17.D02,Obtain copyrights or other legal permissions.,2
4.A.1.a.1.I17.D03,Obtain written authorization to perform activities.,2
4.A.1.a.1.I18.D01,Conduct anthropological or archaeological research.,2
4.A.1.a.1.I18.D02,Conduct historical research.,2
4.A.1.a.1.I18.D03,Conduct research on social issues.,2
4.A.1.a.1.I19.D01,Conduct research to increase knowledge about medical issues.,2
4.A.1.a.1.I19.D02,Collect information about community health needs.,2
4.A.1.a.1.I20.D01,Research engineering aspects of biological or chemical processes.,2
4.A.1.a.1.I20.D02,Research engineering applications of emerging technologies.,2
4.A.1.a.1.I20.D03,Research design or application of green technologies.,2
4.A.1.a.1.I20.D04,Conduct research to gain information about products or processes.,2
4.A.1.a.1.I20.D05,Research advanced engineering designs or applications.,2
4.A.1.a.1.I20.D06,"Research energy production, use, or conservation.",2
4.A.1.a.1.I20.D07,Research human performance or health factors related to engineering or design activities.,2
4.A.1.a.1.I20.D08,Research new technologies.,2
4.A.1.a.1.I20.D09,Research product safety.,2
4.A.1.a.1.I20.D10,Research methods to improve food products.,2
4.A.1.a.1.I21.D01,Investigate accidents to determine causes.,2
4.A.1.a.1.I21.D02,Examine debris to obtain information about causes of fires.,2
4.A.1.a.1.I21.D03,"Investigate transportation incidents, violations, or complaints.",2
4.A.1.a.1.I21.D04,Investigate industrial or transportation accidents.,3
4.A.1.a.1.I22.D01,"Investigate system, equipment, or product failures.",3
4.A.1.a.1.I22.D02,Investigate work related complaints to determine corrective actions.,3
4.A.1.a.1.I22.D03,Investigate safety of work environment.,2
4.A.1.a.1.I23.D01,"Interview employees, customers, or others to collect information.",2
4.A.1.a.1.I23.D02,Interview others for news or entertainment purposes.,2
4.A.1.a.1.I23.D03,Interview clients to gather financial information.,2
4.A.1.a.1.I23.D04,Interview people to obtain information about actions or status of individuals.,2
4.A.1.a.1.I23.D05,Interview people to gather information about criminal activities.,2
4.A.1.a.1.I23.D06,Interview patients to gather medical information.,2
4.A.1.a.1.I23.D07,Interview claimants to get information related to legal proceedings.,2
4.A.1.a.1.I23.D08,"Interview clients to gather information about their backgrounds, needs, or progress.",2
4.A.1.a.1.I23.D09,"Interview witnesses, suspects, or claimants.",2
4.A.1.a.2.I01.D01,Monitor broadcasting operations to ensure proper functioning.,3
4.A.1.a.2.I01.D02,Monitor medical equipment to ensure proper functioning.,2
4.A.1.a.2.I01.D03,Monitor engine operation or functioning.,2
4.A.1.a.2.I01.D04,Monitor lubrication of equipment or workpieces.,2
4.A.1.a.2.I01.D05,Monitor equipment operation to ensure proper functioning.,2
4.A.1.a.2.I01.D06,Observe equipment in operation to detect potential problems.,2
4.A.1.a.2.I01.D07,Watch operating equipment to detect malfunctions.,2
4.A.1.a.2.I01.D08,"Monitor green energy equipment, systems, or facilities.",2
4.A.1.a.2.I01.D09,Assess equipment functioning.,2
4.A.1.a.2.I01.D10,Monitor equipment operation to ensure that products are not flawed.,2
4.A.1.a.2.I01.D11,Monitor instruments to ensure proper production conditions.,2
4.A.1.a.2.I01.D12,Monitor video displays of medical equipment to ensure proper functioning.,2
4.A.1.a.2.I01.D13,Monitor equipment gauges or displays to ensure proper operation.,2
4.A.1.a.2.I01.D14,Monitor equipment fluid levels.,2
4.A.1.a.2.I02.D01,Monitor industrial energy consumption or management.,3
4.A.1.a.2.I02.D02,Monitor facilities or operational systems.,3
4.A.1.a.2.I02.D03,Monitor operational quality or safety.,2
4.A.1.a.2.I02.D04,Monitor extraction operations.,3
4.A.1.a.2.I02.D05,Monitor organizational procedures to ensure proper functioning.,3
4.A.1.a.2.I02.D06,Monitor construction operations.,2
4.A.1.a.2.I02.D07,Monitor vehicle movement or location.,2
4.A.1.a.2.I02.D08,Monitor recreational facility operations.,2
4.A.1.a.2.I02.D09,Inspect operational processes.,3
4.A.1.a.2.I02.D10,Track goods or materials.,2
4.A.1.a.2.I02.D11,Monitor food services operations to ensure procedures are followed.,2
4.A.1.a.2.I02.D12,Monitor loading processes to ensure they are performed properly.,2
4.A.1.a.2.I02.D13,Monitor biofuel production operations.,3
4.A.1.a.2.I02.D14,Inspect cargo to ensure it is properly loaded or secured.,2
4.A.1.a.2.I02.D15,Monitor the productivity or efficiency of industrial operations.,3
4.A.1.a.2.I02.D16,Monitor operational procedures in technical environments to ensure conformance to standards.,3
4.A.1.a.2.I02.D17,Inspect operations of green energy facilities.,3
4.A.1.a.2.I02.D18,Monitor conditions at energy-producing landfills.,3
4.A.1.a.2.I02.D19,Monitor the handling of hazardous materials or medical wastes.,2
4.A.1.a.2.I02.D20,Monitor organizational processes.,3
4.A.1.a.2.I03.D01,Monitor financial information.,2
4.A.1.a.2.I03.D02,Monitor financial activities.,2
4.A.1.a.2.I03.D03,Monitor sales activities.,2
4.A.1.a.2.I03.D04,Monitor flow of cash or other resources.,2
4.A.1.a.2.I03.D05,Monitor financial indicators.,2
4.A.1.a.2.I03.D06,Monitor business indicators.,2
4.A.1.a.2.I04.D01,Monitor traffic signals.,1
4.A.1.a.2.I04.D02,Time vehicle speed or traffic-control equipment operation.,2
4.A.1.a.2.I05.D01,Monitor patient progress or responses to treatments.,2
4.A.1.a.2.I05.D02,Monitor clients to evaluate treatment progress.,2
4.A.1.a.2.I05.D03,Monitor patients following surgeries or other treatments.,2
4.A.1.a.2.I05.D04,Monitor animal behavior or condition.,2
4.A.1.a.2.I05.D05,Monitor health or behavior of people or animals.,2
4.A.1.a.2.I05.D06,Monitor patients to detect health problems.,2
4.A.1.a.2.I05.D07,"Monitor patient conditions during treatments, procedures, or activities.",2
4.A.1.a.2.I05.D08,Monitor nutrition related activities of individuals or groups.,2
4.A.1.a.2.I06.D01,Monitor performance of organizational members or partners.,3
4.A.1.a.2.I06.D02,Monitor patron activities to identify problems or potential problems.,2
4.A.1.a.2.I06.D03,Monitor student performance.,2
4.A.1.a.2.I06.D04,Supervise school or student activities.,2
4.A.1.a.2.I06.D05,Enforce rules or policies governing student behavior.,2
4.A.1.a.2.I06.D06,Monitor activities of individuals to ensure safety or compliance with rules.,2
4.A.1.a.2.I06.D07,"Monitor student behavior, social development, or health.",2
4.A.1.a.2.I07.D01,Monitor environment to ensure safety.,2
4.A.1.a.2.I07.D02,Monitor access or flow of people to prevent problems.,2
4.A.1.a.2.I07.D03,Monitor building premises to ensure occupant or visitor safety.,2
4.A.1.a.2.I07.D04,Locate suspicious objects or vehicles.,2
4.A.1.a.2.I07.D05,Patrol properties to maintain safety.,2
4.A.1.a.2.I07.D06,Monitor work areas to provide security.,2
4.A.1.a.2.I07.D07,Maintain surveillance of individuals or establishments.,2
4.A.1.a.2.I07.D08,Monitor alarm systems.,2
4.A.1.a.2.I07.D09,Monitor work areas or procedures to ensure compliance with safety procedures.,2
4.A.1.a.2.I07.D10,Locate fires or fire danger areas.,1
4.A.1.a.2.I07.D11,Monitor surroundings to detect potential hazards.,1
4.A.1.a.2.I07.D12,Patrol natural areas to ensure safety or enforce regulations.,2
4.A.1.a.2.I07.D13,Monitor work environment to ensure safety or adherence to specifications.,2
4.A.1.a.2.I08.D01,Monitor market conditions or trends.,1
4.A.1.a.2.I08.D02,Monitor current trends.,2
4.A.1.a.2.I08.D03,Monitor external affairs or events affecting business operations.,2
4.A.1.a.2.I08.D04,Monitor external factors impacting operations.,2
4.A.1.a.2.I09.D01,Inspect landscaping to determine treatment needs.,2
4.A.1.a.2.I09.D02,Monitor environmental conditions to detect hazards.,2
4.A.1.a.2.I09.D03,Measure environmental characteristics.,2
4.A.1.a.2.I09.D04,Monitor activities affecting environmental quality.,2
4.A.1.a.2.I09.D05,Assess characteristics of fires.,2
4.A.1.a.2.I09.D06,Inspect condition of natural environments.,2
4.A.1.a.2.I10.D01,Monitor the security of digital information.,2
4.A.1.a.2.I10.D02,Monitor the performance of computer networks.,3
4.A.1.a.2.I10.D03,Monitor computer system performance to ensure proper operation.,3
4.A.1.a.2.I11.D01,Identify actions needed to bring properties or facilities into compliance with regulations.,2
4.A.1.a.2.I11.D02,Inspect products or operations to ensure that standards are met.,2
